tau,SCS,OSQP
1.0,0.8181818181818182,0.6931818181818182
1.0092621909870476,0.8181818181818182,0.6931818181818182
1.0186101701559758,0.8181818181818182,0.6931818181818182
1.0280447320933093,0.8181818181818182,0.6931818181818182
1.0375666787451858,0.8181818181818182,0.6931818181818182
1.0471768194855202,0.8181818181818182,0.6931818181818182
1.0568759711848041,0.8181818181818182,0.6931818181818182
1.0666649582795393,0.8181818181818182,0.6931818181818182
1.0765446128423155,0.8181818181818182,0.6931818181818182
1.0865157746525382,0.8181818181818182,0.6931818181818182
1.0965792912678098,0.8181818181818182,0.6931818181818182
1.1067360180959736,0.8181818181818182,0.6931818181818182
1.116986818467823,0.8181818181818182,0.6931818181818182
1.1273325637104867,0.8181818181818182,0.6931818181818182
1.1377741332214912,0.8181818181818182,0.6931818181818182
1.148312414543511,0.8181818181818182,0.6931818181818182
1.158948303439811,0.8181818181818182,0.6931818181818182
1.1696827039703852,0.8181818181818182,0.6931818181818182
1.180516528568805,0.8181818181818182,0.7045454545454546
1.1914506981197759,0.8181818181818182,0.7045454545454546
1.2024861420374122,0.8181818181818182,0.7045454545454546
1.2136237983442408,0.8181818181818182,0.7045454545454546
1.2248646137509314,0.8181818181818182,0.7045454545454546
1.2362095437367686,0.8181818181818182,0.7045454545454546
1.2476595526308696,0.8181818181818182,0.7045454545454546
1.259215613694151,0.8181818181818182,0.7045454545454546
1.2708787092020586,0.8181818181818182,0.7045454545454546
1.2826498305280605,0.8181818181818182,0.7045454545454546
1.2945299782279156,0.8181818181818182,0.7045454545454546
1.306520162124721,0.8181818181818182,0.7045454545454546
1.3186214013947486,0.8295454545454546,0.7045454545454546
1.330834724654075,0.8295454545454546,0.7045454545454546
1.343161170046016,0.8295454545454546,0.7045454545454546
1.3556017853293685,0.8295454545454546,0.7045454545454546
1.3681576279674716,0.8295454545454546,0.7045454545454546
1.3808297652180925,0.8295454545454546,0.7045454545454546
1.3936192742241424,0.8295454545454546,0.7045454545454546
1.406527242105237,0.8295454545454546,0.7045454545454546
1.4195547660501011,0.8295454545454546,0.7045454545454546
1.4327029534098308,0.8295454545454546,0.7045454545454546
1.4459729217920199,0.8295454545454546,0.7045454545454546
1.4593657991557567,0.8295454545454546,0.7045454545454546
1.4728827239075026,0.8295454545454546,0.7045454545454546
1.4865248449978568,0.8295454545454546,0.7045454545454546
1.5002933220192183,0.8295454545454546,0.7045454545454546
1.5141893253043521,0.8295454545454546,0.7045454545454546
1.5282140360258698,0.8295454545454546,0.7045454545454546
1.5423686462966282,0.8295454545454546,0.7045454545454546
1.5566543592710615,0.8295454545454546,0.7045454545454546
1.5710723892474503,0.8295454545454546,0.7045454545454546
1.5856239617711374,0.8295454545454546,0.7045454545454546
1.6003103137387007,0.8409090909090909,0.7045454545454546
1.6151326935030905,0.8409090909090909,0.7045454545454546
1.6300923609797406,0.8409090909090909,0.7045454545454546
1.6451905877536626,0.8409090909090909,0.7045454545454546
1.66042865718753,0.8409090909090909,0.7045454545454546
1.6758078645307677,0.8409090909090909,0.7045454545454546
1.691329517029648,0.8522727272727273,0.7045454545454546
1.7069949340384074,0.8522727272727273,0.7045454545454546
1.722805447131394,0.8522727272727273,0.7045454545454546
1.7387624002162507,0.8522727272727273,0.7045454545454546
1.754867149648151,0.8522727272727273,0.7045454545454546
1.7711210643450879,0.8522727272727273,0.7045454545454546
1.787525525904235,0.8522727272727273,0.7045454545454546
1.8040819287193828,0.8522727272727273,0.7045454545454546
1.820791680099463,0.8522727272727273,0.7045454545454546
1.8376562003881711,0.8522727272727273,0.7045454545454546
1.8546769230846987,0.8636363636363636,0.7045454545454546
1.8718552949655787,0.8636363636363636,0.7045454545454546
1.8891927762076663,0.875,0.7045454545454546
1.9066908405122525,0.875,0.7045454545454546
1.924350975230331,0.875,0.7045454545454546
1.9421746814890257,0.875,0.7045454545454546
1.9601634743191854,0.875,0.7045454545454546
1.9783188827841642,0.875,0.7045454545454546
1.996642450109794,0.8863636363636364,0.7045454545454546
2.0151357338155576,0.8863636363636364,0.7045454545454546
2.0338003058469813,0.8863636363636364,0.7045454545454546
2.052637752709252,0.8863636363636364,0.7045454545454546
2.071649675602069,0.8977272727272727,0.7045454545454546
2.0908376905557504,0.8977272727272727,0.7045454545454546
2.1102034285685956,0.8977272727272727,0.7045454545454546
2.12974853574552,0.8977272727272727,0.7045454545454546
2.14947467343798,0.8977272727272727,0.7045454545454546
2.1693835183851844,0.8977272727272727,0.7045454545454546
2.1894767628566214,0.8977272727272727,0.7045454545454546
2.209756114795902,0.8977272727272727,0.7045454545454546
2.2302232979659378,0.8977272727272727,0.7045454545454546
2.2508800520954613,0.8977272727272727,0.7045454545454546
2.2717281330269055,0.8977272727272727,0.7045454545454546
2.2927693128656492,0.8977272727272727,0.7045454545454546
2.314005380130653,0.8977272727272727,0.7045454545454546
2.3354381399064787,0.8977272727272727,0.7045454545454546
2.3570694139967276,0.8977272727272727,0.7045454545454546
2.3789010410788936,0.8977272727272727,0.7045454545454546
2.4009348768606524,0.8977272727272727,0.7045454545454546
2.4231727942375993,0.8977272727272727,0.7045454545454546
2.445616683452446,0.8977272727272727,0.7045454545454546
2.468268452255692,0.8977272727272727,0.7045454545454546
2.491130026067789,0.8977272727272727,0.7045454545454546
2.5142033481427974,0.8977272727272727,0.7045454545454546
2.5374903797335704,0.8977272727272727,0.7045454545454546
2.5609931002584587,0.8977272727272727,0.7045454545454546
2.5847135074695635,0.8977272727272727,0.7045454545454546
2.608653617622548,0.8977272727272727,0.7045454545454546
2.632815465648021,0.8977272727272727,0.7045454545454546
2.6572011053245053,0.8977272727272727,0.7045454545454546
2.681812609453015,0.8977272727272727,0.7045454545454546
2.7066520700332415,0.8977272727272727,0.7045454545454546
2.7317215984413767,0.8977272727272727,0.7045454545454546
2.7570233256095835,0.8977272727272727,0.7045454545454546
2.7825594022071245,0.9090909090909091,0.7045454545454546
2.808331998823172,0.9090909090909091,0.7045454545454546
2.8343433061513092,0.9090909090909091,0.7045454545454546
2.8605955351757424,0.9090909090909091,0.7045454545454546
2.887090917359236,0.9090909090909091,0.7045454545454546
2.9138317048327873,0.9090909090909091,0.7045454545454546
2.940820170587063,0.9090909090909091,0.7045454545454546
2.9680586086656024,0.9090909090909091,0.7045454545454546
2.9955493343598136,0.9090909090909091,0.7045454545454546
3.0232946844057773,0.9090909090909091,0.7045454545454546
3.0512970171828697,0.9090909090909091,0.7045454545454546
3.079558712914226,0.9090909090909091,0.7045454545454546
3.108082173869064,0.9090909090909091,0.7045454545454546
3.1368698245668774,0.9090909090909091,0.7045454545454546
3.1659241119835224,0.9090909090909091,0.7045454545454546
3.195247505759212,0.9090909090909091,0.7045454545454546
3.2248424984084414,0.9090909090909091,0.7045454545454546
3.254711605531848,0.9090909090909091,0.7045454545454546
3.2848573660300446,0.9090909090909091,0.7045454545454546
3.315282342319425,0.9090909090909091,0.7045454545454546
3.345989120549973,0.9090909090909091,0.7045454545454546
3.3769803108250906,0.9090909090909091,0.7045454545454546
3.408258547423452,0.9090909090909091,0.7045454545454546
3.4398264890229253,0.9090909090909091,0.7045454545454546
3.4716868189265613,0.9090909090909091,0.7045454545454546
3.503842245290674,0.9090909090909091,0.7045454545454546
3.536295501355042,0.9090909090909091,0.7045454545454546
3.5690493456752295,0.9090909090909091,0.7045454545454546
3.602106562357071,0.9090909090909091,0.7045454545454546
3.6354699612933197,0.9090909090909091,0.7045454545454546
3.6691423784024932,0.9090909090909091,0.7045454545454546
3.703126675869926,0.9204545454545454,0.7045454545454546
3.737425742391064,0.9204545454545454,0.7045454545454546
3.7720424934169983,0.9204545454545454,0.7045454545454546
